Week,Day,Short description,Duration/Sets,Movements,Reps,Rest
1,Gio,Blocchi tecnici boulder gym (RPE 5-6 - placche/coordinativi - zero pump),Fino a 45',4-8 mov,8-12 boulder totali,A piacere

2,Mer,Aufbau Moonboard (MB 6a+/6b - RPE 7 - mileage al grado / vie volume indoor),3 sets,12-14 decrescenti a 9,5,2' / 10'
2,Mer,Blocchi ripetuti Moonboard (MB 6a+ - sezioni groovate - zero crux RPE 6-7),1 set,6-8 mov,3,1' / 8'

2,Sab,Vie flash/onsight outdoor 6c+/7a (mileage al grado limite - fluidità RPE 6-7),Fino a 90',20-30 per via,6-10 vie totali,5-10' tra vie
2,Sab,Sezioni ripetute outdoor 7a (pattern motori al grado - ripetere crux),20-30',8-12 mov per sezione,2-3 sezioni x 2-3 rip,3-5' tra rip

2,Dom,Vie sostenute outdoor 6b+/6c lead (PE sostenuta estesa RPE 7-8 - sustained climbing TUT 120-150s),3-4 vie,libero - TUT 120-150s,1 tentativo per via,8-10' tra vie
2,Dom,Vie flash outdoor 6a/6b (defaticante RPE 5 - fine sessione),20-30',20-30 per via,3-5 vie facili,A piacere

3,Mer,Aufbau Moonboard (MB 6b - RPE 8 - intensità più alta peak indoor),3 sets,12-15 decrescenti a 10,5-6,2' / 10'
3,Mer,Blocchi ripetuti Moonboard (MB 6b - grado flash - finale RPE 8),1 set,6-8 mov,3,1' / 8'

3,Sab,Vie sostenute outdoor 6c/7a lead (PE sostenuta estesa peak RPE 8 - sustained climbing TUT 150-180s),3-4 vie,libero - TUT 150-180s,1 tentativo per via,10-12' tra vie
3,Sab,Vie flash/onsight outdoor 6c+/7a (mileage al grado limite - fluidità RPE 6-7),30-45',20-30 per via,3-5 vie totali,5-10' tra vie

3,Dom,Vie lavorate outdoor 7a+ progetto (red-point mapping - PRIMO TENTATIVO SERIO - fresh fingers),Fino a 90',25-35,3-4 tentativi seri,20-30' tra tentativi seri
3,Dom,Vie flash outdoor 6a/6b (defaticante RPE 4-5 - fine sessione),20-30',20-30 per via,2-3 vie facili,A piacere

4,Mer,Blocchi tecnici boulder gym (RPE 5-6 - placche/coordinativi - zero pump),Fino a 45',4-8 mov,8-12 boulder totali,A piacere

4,Sab,Vie flash outdoor warm-up progressivo 6a/6b,20-30',15-25,2-3 vie,8-10' tra vie - poi pausa 20-30' prima del primo tentativo serio
4,Sab,PERFORMANCE — Vie 7a+ progetto (SEND ATTEMPT principale fresh - HONEST SERIOUS ATTEMPT),3-4 tentativi MAX,25-35,Cap 4 - STOP se 2 cadute consecutive sotto il crux + 1 mossa o crollo qualità tecnica,30-45' tra tentativi seri (recupero completo - no pump residuo)

4,Dom,CONDIZIONALE A — Vie flash celebrative (se sabato chiusura OK - RPE 4-5),30-45',15-25,4-6 vie facili 6a-6b,A piacere
4,Dom,CONDIZIONALE B — Vie 7a+ secondo tentativo (se sabato NON chiuso - no scavare),Max 60',25-35,2-3 tentativi MAX - mai più di 3,30-40' tra tentativi
